repetition,seed,accuracy,f1
0,0,0.8553921568627451,0.9001692047377327
1,1,0.8431372549019608,0.8904109589041096
2,2,0.8627450980392157,0.9054054054054055
3,3,0.8553921568627451,0.899488926746167
4,4,0.8651960784313726,0.9040139616055847
5,5,0.8504901960784313,0.8942807625649914
6,6,0.8553921568627451,0.8991452991452993
7,7,0.8504901960784313,0.8953687821612349
8,8,0.8504901960784313,0.8950086058519794
9,9,0.8382352941176471,0.8877551020408163
10,10,0.8455882352941176,0.8904347826086957
11,11,0.8455882352941176,0.891566265060241
12,12,0.8627450980392157,0.9063545150501673
13,13,0.8578431372549019,0.9003436426116839
14,14,0.8651960784313726,0.9072512647554806
